bin,E_bin_MeV,Chi_for_bin_nSv_h_per_cps
385,0.31183633093525204,0.6989955992571953
386,0.312755395683453,0.7035257171294953
387,0.31367446043165503,0.708068449699642
388,0.314593525179856,0.7126237360647476
389,0.315512589928058,0.7171915151366927
390,0.316431654676259,0.7217717255827338
391,0.31735071942446,0.7263643064208612
392,0.318269784172662,0.7309691970755402
393,0.319188848920863,0.7355863371600705
394,0.320107913669065,0.7402156667482026
395,0.32102697841726596,0.7448571253183441
396,0.321946043165468,0.7495114263633111
397,0.322865107913669,0.7541781114280572
398,0.32378417266187104,0.7588567339352545
399,0.324703237410072,0.7635472341744607
400,0.325622302158273,0.7682495529496381
401,0.326541366906475,0.7729636311996412
402,0.327460431654676,0.7776894098633078
403,0.328379496402878,0.7824268302589943
404,0.32929856115107903,0.7871758343812942
405,0.330217625899281,0.7919363638129517
406,0.331136690647482,0.7967083589352518
407,0.332055755395683,0.8014917640827314
408,0.33297482014388496,0.8062868575755399
409,0.33389388489208605,0.8110939881223006
410,0.334812949640288,0.8159123415107925
411,0.335732014388489,0.820741860875898
412,0.336651079136691,0.8255824887769802
413,0.337570143884892,0.8304341688075533
414,0.338489208633094,0.835296843956837
415,0.339408273381295,0.8401704570863309
416,0.340327338129496,0.8450549520611489
417,0.34124640287769803,0.8499502728669073
418,0.342165467625899,0.8548563624532358
419,0.343084532374101,0.8597731655449655
420,0.344003597122302,0.8647006268561144
421,0.34492266187050397,0.8696396605935274
422,0.34584172661870505,0.8745892748345325
423,0.346760791366906,0.8795493688255372
424,0.347679856115108,0.8845198859316552
425,0.348598920863309,0.889500772357912
426,0.349517985611511,0.8944919730287781
427,0.35043705035971195,0.8994934327859699
428,0.351356115107914,0.9045050974676277
429,0.352275179856115,0.9095269130377693
430,0.35319424460431703,0.91455882497842
431,0.354113309352518,0.9196007789982016
432,0.355032374100719,0.9246527220287746
433,0.355951438848921,0.9297151714568354
434,0.356870503597122,0.9347878745467612
435,0.35778956834532405,0.9398703939046781
436,0.358708633093525,0.9449626764784165
437,0.359627697841727,0.9500646698920885
438,0.360546762589928,0.9551763208057552
439,0.361465827338129,0.960297576390285
440,0.36238489208633096,0.9654283840143886
441,0.36330395683453204,0.9705686912823722
442,0.364223021582734,0.975718446258994
443,0.365142086330935,0.9808775963669051
444,0.366061151079137,0.9860460906906493
445,0.366980215827338,0.9912240941294955
446,0.36789928057554,0.9964120049424485
447,0.368818345323741,1.0016090937805757
448,0.369737410071942,1.0068153091546739
449,0.370656474820144,1.0120305995755403
450,0.371575539568345,1.0172549147050343
451,0.372494604316547,1.0224882035791383
452,0.373413669064748,1.027730415122301
453,0.37433273381294996,1.0329814992679873
454,0.37525179856115104,1.0382414060431653
455,0.376170863309353,1.0435100844712257
456,0.377089928057554,1.0487874852446044
457,0.378008992805755,1.0540735583884868
458,0.378928057553957,1.0593689888920872
459,0.379847122302158,1.0646730735971208
460,0.38076618705035997,1.0699856715971239
461,0.381685251798561,1.075306733746402
